ցնծալ,ալ,չբ.
իջնել,ել,չբ.
հարկանել,ել,նբ.
ցուցանել,ել,նբ.
անցնել,ել,չբ.,նբ.
հաճել,ել,չբ.
ողորմել,ել,նբ.
ընթանալ,ալ,չբ.
շիջուցանել,ել,նբ.
ուսուցանել,ել,նբ.
ստամբակել,ել,չբ.
մեղանչել,ել,չբ.
երգիծել,ել,նբ.
երևալ,ալ,չբ.
հերքել,ել,նբ.
զգենալ,ալ,նբ.,չբ.
պեղել,ել,նբ.
ընդոստնել,ել,չբ.
ընթեռնել,ել,չբ.
թաքցնել,ել,նբ.
թաքնվել,ել,չբ.
լոգանալ,ալ,չբ.
լուցել,ել,նբ.
խանդել,ել,չբ.
խեթել,ել,նբ.
խրտնել,ել,չբ.
տժվժալ,ալ,չբ.
կալնել,ել,նբ.
կալել,ել,նբ.
հյուծել,ել,նբ.
կարենալ,ալ,չբ.
բարձրաձայնել,ել,նբ.
հարել,ել,նբ.,չբ.
հեծնել,ել,նբ.
հեղել,ել,նբ.
հեղուսել,ել,նբ.
հեռացնել,ել,նբ.
հյուսել,ել,նբ.
մատուցել,ել,նբ.
մոլորվել,ել,չբ.
համառել,ել,չբ.
հարնչել,ել,չբ.
հենել,ել,նբ.
հեռել,ել,չբ.
հոխորտալ,ալ,չբ.
հորդել,ել,չբ.,նբ.
շաչել,ել,չբ.
շիջել,ել,չբ.,նբ
մտաբերել,ել,նբ.
ոստնել,ել,չբ.
պանծալ,ալ,չբ.
ջեռուցել,ել,նբ.
սխալվել,ել,չբ.
սպրդել,ել,չբ.
ցտել,ել,նբ.
քաղցել,ել,չբ.
խմբագրել,ել,նբ.
ընտրվել,ել,չբ.
ահագնանալ,ալ,չբ.
օգնել,ել,չբ.
չվել,ել,չբ.
ընտրել,ել,նբ.
քարշել,ել,նբ.
քարոզել,ել,նբ.
քծնել,ել,չբ.
քննադատել,ել,նբ.
քննարկել,ել,նբ.
քոչել,ել,չբ.
փլել,ել,նբ.,չբ.
փոխարինել,ել,նբ.
ապաշխարել,ել,չբ.
արհամարհել,ել,նբ.
հեղեղել,ել,նբ.
գիշատել,ել,նբ.
նազել,ել,չբ.
պաշտել,ել,նբ.
հալածել,ել,նբ.
բացականչել,ել,չբ.
կարմրանալ,ալ,չբ.
կարմրել,ել,չբ.
տարբերել,ել,նբ.
տեղեկանալ,ալ,չբ.
տևել,ել,չբ.
ուղեկցել,ել,նբ.,չբ.
տնքալ,ալ,չբ.
տպել,ել,նբ.
տրամադրել,ել,նբ.
միզել,ել,նբ.
գոչել,ել,չբ.
հպարտանալ,ալ,չբ.
կնքել,ել,նբ.
խարխլել,ել,նբ.
ագուցել,ել,նբ.
ագուցանել,ել,նբ.
ազազել,ել,չբ.
ազազանալ,ալ,չբ.
համոզել,ել,նբ.
լռել,ել,չբ.
քանդել,ել,նբ.
ածանցել,ել,նբ.
եպերել,ել,նբ.
լուտալ,ալ,չբ.
մեծարել,ել,նբ.
կենդանանալ,ալ,չբ.
ճաշել,ել,չբ.
նախատել,ել,նբ.
հեգել,ել,նբ.
սրտառել,ել,չբ.
դրվատել,ել,նբ.
թրմել,ել,նբ.
թրել,ել,նբ.
հարբենալ,ալ,չբ.
արբել,ել,նբ.
աղարտել,ել,նբ.
աղատել,ել,չբ.
լքնել,ել,չբ.
առոգել,ել,նբ.
առոգանել,ել,նբ.
ոգել,ել,նբ.
ոռոգել,ել,նբ.
արգահատել,ել,նբ.,չբ.
արմանալ,ալ,չբ.
ընդարմանալ,ալ,չբ.
պապանձել,ել,նբ.,չբ.
օթել,ել,չբ.
գնչել,ել,չբ.
բախել,ել,նբ.,չբ.
բաղխել,ել,նբ.,չբ.
բարբաջել,ել,նբ.,չբ.
բարբանջել,ել,նբ.,չբ.
բաղբանջել,ել,նբ.,չբ.
բաղբաջել,ել,նբ.,չբ.
բամբասել,ել,նբ.
բաջաղել,ել,նբ.,չբ.
բարբառել,ել,չբ.
բեկանել,ել,նբ.
բեկել,ել,նբ.
բզզալ,ալ,չբ.
բլբլալ,ալ,չբ.
բողոքել,ել,չբ.
բուծել,ել,նբ.
բուծանել,ել,նբ.
բտել,ել,նբ.
բորբոքել,ել,նբ.
գելել,ել,նբ.
գեղգեղել,ել,նբ.,չբ.
գլել,ել,նբ.
գլորել,ել,նբ.
գայթակղել,ել,նբ.
գլդորել,ել,նբ.
գլտորել,ել,նբ.
գոգել,ել,չբ.
գոլանալ,ալ,չբ.
վանել,ել,նբ.
դարբնել,ել,նբ.
ընդելուզել,ել,նբ.
զետեղել,ել,նբ.
զառանցել,ել,չբ.
զտել,ել,նբ.
հղփանալ,ալ,չբ.
թոռոմել,ել,չբ.
թորշոմել,ել,չբ.
թրծել,ել,նբ.
լարել,ել,նբ.
լիանալ,ալ,չբ.
լրջանալ,ալ,չբ.
լրթանալ,ալ,չբ.
խածանել,ել,նբ.
խածնել,ել,նբ.
խածել,ել,նբ.
խազել,ել,նբ.,չբ.
խայթել,ել,նբ.
խթել,ել,նբ.
խոթել,ել,նբ.
խանձել,ել,չբ.
խթանել,ել,նբ.
ծաղրել,ել,նբ.
ծլել,ել,չբ.
կայանալ,ալ,չբ.
կաղկանձել,ել,չբ.
կռանալ,ալ,չբ.
տաշել,ել,նբ.
կճել,ել,նբ.,չբ.
կթոտել,ել,նբ.,չբ.
կցել,ել,նբ.
կոշկոճել,ել,նբ.
կոչել,ել,նբ.
կռթնել,ել,չբ.
կռկռալ,ալ,չբ.
կռնչել,ել,չբ.
կռնչալ,ալ,չբ.
կտղել,ել,չբ.
ընկղմել,ել,նբ.,չբ.
հայթայթել,ել,նբ.
հայցել,ել,նբ.
հաստել,ել,նբ.
հատնել,ել,նբ.
հատել,ել,նբ.
էտել,ել,նբ.
հափափել,ել,նբ.
խեղդել,ել,նբ.
զեղել,ել,նբ.
ողողել,ել,նբ.
հիանալ,ել,չբ.
հնանալ,ալ,չբ.
ձաղել,ել,նբ.
ձաղկել,ել,նբ.
ձաղտել,ել,նբ.
կռահել,ել,նբ.
ճմլել,ել,նբ.
վճարել,ել,նբ.
ճմռել,ել,նբ.
ճմռթել,ել,նբ.
մալել,ել,նբ.
մաղել,ել,նբ.,չբ.
մայել,ել,չբ.
բավարարել,ել,նբ.
մգլել,ել,նբ.
մեկնել,ել,չբ.,նբ.
հոլանել,ել,նբ.
հոլաթևել,ել,չբ.
վճռել,ել,նբ.
որոշել,ել,նբ.
հոտել,ել,չբ.,նբ.
ծնգալ,ալ,չբ.
մռմռալ,ալ,չբ.
մրմնջալ,ալ,նբ.,չբ.
փնտրել,ել,նբ.
քրթմնջալ,ալ,չբ.
մնչել,ել,չբ.
հատակել,ել,նբ.
ներկայացնել,ել,նբ.
հղանալ,ալ,նբ.
հղիանալ,ալ,չբ.
հոգնել,ել,չբ.
նիրհել,ել,չբ.
հողդողդել,ել,չբ.
հորջորջել,ել,նբ.
թոթովել,ել,չբ.
ուռթել,ել,նբ.
ուռթանալ,ալ,չբ.
հուռթանալ,ալ,չբ.
օրհնել,ել,նբ.
պագնել,ել,նբ.
պագել,ել,նբ.
ճվատել,ել,նբ.
փրթել,ել,նբ.,չբ.
նավել,ել,չբ.
սայթաքել,ել,չբ.
թովել,ել,նբ.
վերընթերցել,ել,նբ.
թառել,ել,չբ.
գրառել,ել,նբ.
բնութագրել,ել,նբ.
ընդգծել,ել,նբ.
պարգևել,ել,նբ.
զառամել,ել,չբ.
զառամանալ,ալ,չբ.
սանձահարել,ել,նբ.
խորհել,ել,նբ.,չբ.
ճախրել,ել,չբ.
խնամել,ել,նբ.
գուրգուրել,ել,նբ.
փայփայել,ել,նբ.
գուրգուրալ,ալ,չբ.
ողջագուրել,ել,նբ.
փրփրել,ել,չբ.
փրփրալ,ալ,չբ.
վրդովել,ել,նբ.
հալել,ել,նբ.
ենթարկել,ել,նբ.
վրդովվել,ել,չբ.
մաքառել,ել,չբ.
լկստվել,ել,չբ.
ապշել,ել,չբ.
գորովել,ել,չբ.
հառել,ել,նբ.
գոյանալ,ալ,չբ.
կաշկանդել,ել,նբ.
փարվել,ել,չբ.
վերծանել,ել,նբ.
թվարկել,ել,նբ.
հիմնավորել,ել,նբ.
ճշգրտել,ել,նբ.
վխտալ,ալ,չբ.
սսկվել,ել,չբ.
