չորանալ,{{hy-conj-ալ|չորան||չորաց|caus=on}}
քերծել,{{hy-conj-ել|քերծ|mp=on}}
դավաճանել,{{hy-conj-ել|դավաճան}}
քունել,{{hy-conj-ել|քուն|mp=on}}
գովել,{{hy-conj-el|գով}}
զանգել,{{hy-conj-ել|զանգ|mp=on}}
զանգահարել,{{hy-conj-el|զանգահար|mp=on}}
այցելել,{{hy-conj-el|այցել}}
անվանել,{{hy-conj-el|անվան}}
սանձել,{{hy-conj-el|սանձ}}
արձակել,{{hy-conj-ել|արձակ|mp=pn}}
արյունահոսել,{{hy-conj-el|արյունահոս}}
արձագանքել,{{hy-conj-el|արձագանք}}
հագնել,{{hy-conj-ել|հագն||հագ|mp=on|caus=on}}
հագնվել,{{hy-conj-el|հագնվ}}
ներկել,{{hy-conj-ել|ներկ|mp=on}}
որոճալ,{{hy-conj-ալ|որոճ}}
որոճել,{{hy-conj-ել|որոճ|caus=on}}
ապստամբել,{{hy-conj-ել|ապստամբ|caus=on}}
քավել,{{hy-conj-ել|քավ}}
շինել,{{hy-conj-ել|mp=on}}
թարթել,{{hy-conj-ել|թարթ}}
սանրել,{{hy-conj-ել|սանր|mp=on}}
սանրվել,{{hy-conj-el|սանրվ}}
քամել,{{hy-conj-ել|քամ|mp=on}}
օծել,{{hy-conj-ել|օծ|mp=on}}
որբանալ,{{hy-conj-ալ|որբան||որբաց|caus=on}}
լուծել,{{hy-conj-ել|լուծ|mp=on}}
անձրեւել,{{hy-conj-el|անձրև}}
պահպանել,{{hy-conj-ել|պահպան}}
մտցնել,{{hy-conj-ցն-ել|մտ}}
կերցնել,{{hy-conj-ցն-ել|կեր}}
խոսալ,{{hy-conj-ալ|խոս|caus=on}}
համբուրվել,{{hy-conj-ել|համբուրվ}}
չափել,{{hy-conj-ել|չափ|mp=on}}
միանալ,{{hy-conj-ալ|միան||միաց|caus=on}}
միացնել,{{hy-conj-ցն-ել}}
մոտենալ,{{hy-conj-ալ|մոտեն||մոտեց}}
կիսել,{{hy-conj-el|կիս|mp=on}}
կտակել,{{hy-conj-ել|կտակ}}
փոխանակել,{{hy-conj-ել|փոխանակ|mp=on}}
բղավել,{{hy-conj-ել|բղավ}}
հավելել,{{hy-conj-ել|հավել}}
կթել,{{hy-conj-ել|կթ|mp=on}}
ըլնել,{{hy-conj-el|ըլն||էղ}}
սիկտիրվել,{{hy-conj-el|սիկտիրվ}}
ցավել,{{hy-conj-ել|caus=on}}
ցավալ,{{hy-conj-ալ|ցավ|caus=on}}
վիճել,{{hy-conj-ել|վիճ}}
ստիպել,{{hy-conj-el|ստիպ|mp=on}}
սիրվել,{{hy-conj-ել|սիրվ}}
թլփատել,{{hy-conj-ել|թլփատ|mp=on}}
պաչել,{{hy-conj-ել|mp=on}}
կարողանալ,{{hy-conj-ալ|կարողան||կարողաց|caus=on}}
թափել,{{hy-conj-ել|թափ|mp=on}}
կակազել,{{hy-conj-ել|կակազ}}
խնչել,{{hy-conj-ել|խնչ|caus=on}}
